N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
142,KODEX 200선물인버스2X,"2,020",45,-2.18%,0,"18,356","908,700",1.95,"384,178,744",N/A,N/A,
143,명신산업,"44,750",100,-0.22%,500,"18,249","40,779",0.80,"3,343,958",N/A,53.84,
144,대한유화,"280,500","1,500",-0.53%,"5,000","18,232","6,500",18.62,"78,405",20.53,6.11,
145,농심,"297,500","4,000",+1.36%,"5,000","18,096","6,083",18.07,"44,476",13.35,3.72,
146,현대엘리베이,"43,700",300,+0.69%,"5,000","17,836","40,815",25.48,"338,063",19.57,5.22,
147,KCC,"200,000","2,000",-0.99%,"5,000","17,773","8,886",11.70,"44,449",-634.92,-4.37,
148,KODEX MSCI Korea TR,"14,175",55,+0.39%,0,"17,690","124,800",10.30,"316,574",N/A,N/A,
149,메리츠화재,"14,450",350,+2.48%,500,"17,430","120,625",9.80,"386,723",4.24,12.80,
150,KODEX 삼성그룹,"10,940",120,+1.11%,0,"17,132","156,600",0.03,"559,887",N/A,N/A,
151,한화에어로스페이스,"33,450",100,-0.30%,"5,000","16,936","50,630",18.67,"1,079,142",23.46,5.45,
152,KODEX 200TR,"14,070",125,+0.90%,0,"16,778","119,250",0.02,"134,788",N/A,N/A,
153,아이에스동서,"54,100",400,+0.74%,500,"16,713","30,893",5.38,"84,401",13.04,6.10,
154,KODEX 레버리지,"28,875",630,+2.23%,0,"16,690","57,800",2.53,"53,178,586",N/A,N/A,
155,부광약품,"25,500",350,+1.39%,500,"16,534","64,838",4.81,"462,212","12,750.00",-2.00,
156,솔루스첨단소재,"53,500",300,-0.56%,100,"16,366","30,590",9.55,"361,726",154.62,N/A,
157,효성,"75,800",100,-0.13%,"5,000","15,972","21,071",6.29,"112,029",-35.54,4.25,
158,F&F,"100,500","13,700",+15.78%,500,"15,477","15,400",9.21,"1,073,729",17.77,25.13,
159,영원무역,"34,100",750,+2.25%,500,"15,110","44,311",23.82,"308,280",9.23,9.82,
160,KODEX 종합채권(AA-이상)액티브,"110,100",75,+0.07%,0,"15,083","13,699",0.00,"2,266",N/A,N/A,
161,지누스,"104,500","2,500",+2.45%,500,"15,055","14,407",22.23,"89,325",21.09,26.32,
162,NHN,"76,300",100,+0.13%,500,"14,928","19,565",11.70,"82,149",50.83,0.78,
163,LG생활건강우,"702,000","3,000",-0.43%,"5,000","14,740","2,100",84.54,"4,250",15.73,N/A,
164,롯데정밀화학,"56,800",400,+0.71%,"5,000","14,654","25,800",22.82,"131,164",8.57,11.73,
165,한국테크놀로지그룹,"14,750",250,+1.72%,500,"13,720","93,020",6.96,"192,177",12.31,4.71,
166,영진약품,"7,490",30,+0.40%,500,"13,699","182,893",4.24,"944,298","-1,872.50",4.43,
167,메리츠금융지주,"9,840",50,+0.51%,500,"13,187","134,011",8.23,"154,856",2.83,15.26,
